,Elevation,Veg.mass,Plant.net,pre.AI,Plant.rich,Group
HDX062,4700,144,0.362264861,0.694,7,Above
HDX063,4700,115,0.430493237,0.694,6,Above
HDX064,4700,141,0.361858485,0.694,8,Above
HDX065,4700,85,0.23477019,0.694,8,Above
HDX066,4700,100,0.359715052,0.694,8,Above
HDX067,4700,96,0.288187584,0.694,10,Above
HDX068,4700,199,0.341902532,0.694,6,Above
HDX069,4700,161,0.346904581,0.694,9,Above
HDX070,4700,78,0.346294033,0.694,7,Above
HDX071,4700,178,0.353219921,0.694,7,Above
HDX072,4700,65,0.327827639,0.694,8,Above
HDX073,4700,44,0.347189634,0.694,6,Above
HDX075,4700,198,0.366537838,0.694,6,Above
DH29,4600,110,0.390596236,0.784,7,Above
DH30,4600,69,0.444223707,0.784,5,Above
DH31,4600,115,0.416699083,0.784,6,Above
DH32,4600,96,0.474008636,0.784,7,Above
DH33,4600,54,0.467889682,0.784,6,Above
DH34,4600,84,0.453432261,0.784,5,Above
DH35,4600,110,0.437789571,0.784,7,Above
DH36,4600,28,0.474801453,0.784,5,Above
DH37,4600,83,0.435776309,0.784,5,Above
DH38,4600,69,0.465446815,0.784,5,Above
DH39,4600,86,0.387498299,0.784,6,Above
DH40,4600,260,0.343480144,0.784,5,Above
DH41,4600,54,0.476748423,0.784,3,Above
DH42,4600,35,0.420173805,0.784,3,Above
HDX047,4600,39,0.300202192,0.784,6,Above
HDX048,4600,96,0.353251796,0.784,7,Above
HDX049,4600,181,0.318359956,0.784,8,Above
HDX050,4600,89,0.310076907,0.784,7,Above
HDX051,4600,127,0.338716622,0.784,9,Above
HDX052,4600,65,0.318399817,0.784,5,Above
HDX053,4600,96,0.310686865,0.784,8,Above
HDX054,4600,45,0.308887436,0.784,8,Above
HDX055,4600,121,0.274631699,0.784,6,Above
HDX056,4600,53,0.358653002,0.784,6,Above
HDX057,4600,64,0.261218926,0.784,7,Above
HDX058,4600,87,0.274499936,0.784,7,Above
HDX059,4600,110,0.345834478,0.784,7,Above
HDX060,4600,72,0.348055977,0.784,5,Above
DH15,4500,88,0.432136177,0.865,7,Above
DH16,4500,55,0.195104394,0.865,3,Above
DH17,4500,55,0.455232222,0.865,4,Above
DH18,4500,35,0.475829625,0.865,3,Above
DH19,4500,76,0.462463047,0.865,5,Above
DH20,4500,95,0.467919356,0.865,6,Above
DH21,4500,61,0.445096186,0.865,4,Above
DH22,4500,69,0.420474659,0.865,4,Above
DH23,4500,70,0.423418324,0.865,6,Above
DH24,4500,62,0.286979421,0.865,4,Above
DH25,4500,56,0.42020838,0.865,6,Above
DH26,4500,61,0.390843106,0.865,4,Above
DH27,4500,69,0.424167492,0.865,3,Above
DH28,4500,55,0.322324251,0.865,5,Above
HDX032,4500,55,0.333675119,0.865,7,Above
HDX033,4500,85,0.355014418,0.865,6,Above
HDX034,4500,141,0.381533938,0.865,6,Above
HDX035,4500,57,0.043456932,0.865,3,Above
HDX036,4500,69,0.318191891,0.865,5,Above
HDX037,4500,35,0.277580186,0.865,8,Above
HDX038,4500,50,0.168330677,0.865,2,Above
HDX039,4500,141,0.400881109,0.865,7,Above
HDX040,4500,70,0.288288836,0.865,5,Above
HDX041,4500,98,0.46366906,0.865,6,Above
HDX042,4500,79,0.178937235,0.865,7,Above
HDX043,4500,87,0.420378942,0.865,6,Above
HDX044,4500,60,0.232745056,0.865,3,Above
HDX045,4500,165,0.335710091,0.865,8,Above
DH01,4400,110,0.340631836,0.936,8,Above
DH02,4400,110,0.275266812,0.936,8,Above
DH03,4400,98,0.214097497,0.936,10,Above
DH04,4400,81,0.292941593,0.936,7,Above
DH05,4400,81,0.322318904,0.936,8,Above
DH06,4400,95,0.310582164,0.936,6,Above
DH07,4400,84,0.308428641,0.936,6,Above
DH08,4400,95,0.28408902,0.936,7,Above
DH09,4400,98,0.350543557,0.936,9,Above
DH10,4400,96,0.236033645,0.936,10,Above
DH11,4400,105,0.20585118,0.936,7,Above
DH12,4400,96,0.152156351,0.936,7,Above
DH13,4400,43,0.137539806,0.936,3,Above
DH14,4400,157,0.146827244,0.936,6,Above
HDX023,4400,125,0.299292786,0.936,7,Above
HDX027,4400,124,0.282348724,0.936,8,Above
HDX028,4400,95,0.299172272,0.936,7,Above
HDX029,4400,70,0.14405909,0.936,3,Above
HDX007,4300,34,0.068941804,0.982,4,Above
HDX008,4300,22,0.040810862,0.982,4,Above
HDX009,4300,31,0.002801627,0.982,3,Above
HDX015,4300,29,0.075661909,0.982,6,Above
HDX134,5200,263,0.381129883,0.01,8,Below
HDX135,5200,64,0.081942678,0.01,8,Below
HDX136,5200,33,0.021558932,0.01,2,Below
HDX137,5200,63,0.220153579,0.01,6,Below
HDX138,5200,169,0.222332897,0.01,9,Below
HDX139,5200,132,0.208784703,0.01,12,Below
HDX140,5200,214,0.445760183,0.01,4,Below
HDX141,5200,189,0.160309371,0.01,10,Below
HDX142,5200,297,0.279557532,0.01,11,Below
HDX143,5200,72,0.144804338,0.01,9,Below
HDX144,5200,142,0.11352612,0.01,11,Below
HDX146,5200,135,0.323879565,0.01,7,Below
HDX121,5100,203,0.332244527,0.159,12,Below
HDX122,5100,184,0.331537185,0.159,11,Below
HDX123,5100,281,0.352674199,0.159,9,Below
HDX124,5100,182,0.332179835,0.159,10,Below
HDX125,5100,181,0.358390325,0.159,10,Below
HDX126,5100,215,0.326498656,0.159,13,Below
HDX127,5100,213,0.339956571,0.159,10,Below
HDX128,5100,190,0.363051769,0.159,13,Below
HDX129,5100,172,0.350531839,0.159,11,Below
HDX130,5100,164,0.362710277,0.159,11,Below
HDX131,5100,135,0.370725673,0.159,7,Below
HDX132,5100,64,0.170594228,0.159,6,Below
HDX133,5100,335,0.321511365,0.159,12,Below
DH67,5000,191,0.448126122,0.308,3,Below
DH68,5000,164.8333333,0.465977207,0.308,6,Below
DH69,5000,191,0.473376002,0.308,4,Below
DH70,5000,164.8333333,0.452092114,0.308,4,Below
DH71,5000,20,0.440773659,0.308,5,Below
DH72,5000,191,0.41643324,0.308,5,Below
DH73,5000,164.8333333,0.407204542,0.308,6,Below
DH74,5000,191,0.425044343,0.308,6,Below
DH75,5000,205,0.360536381,0.308,8,Below
DH76,5000,164.8333333,0.424381404,0.308,5,Below
DH77,5000,164.8333333,0.486858881,0.308,4,Below
DH78,5000,164.8333333,0.398527145,0.308,4,Below
HDX107,5000,218,0.411286987,0.308,8,Below
HDX108,5000,344,0.37574351,0.308,9,Below
HDX113,5000,269,0.306388463,0.308,11,Below
HDX114,5000,181,0.36299113,0.308,9,Below
HDX115,5000,179,0.347793234,0.308,9,Below
HDX116,5000,230,0.345522689,0.308,10,Below
HDX117,5000,101,0.424831448,0.308,5,Below
HDX118,5000,280,0.347988315,0.308,12,Below
HDX119,5000,221,0.350941104,0.308,10,Below
HDX120,5000,361,0.350212772,0.308,8,Below
DH55,4900,20,0.412755481,0.452,5,Below
DH56,4900,191,0.437024313,0.452,4,Below
DH57,4900,191,0.421174462,0.452,3,Below
DH58,4900,191,0.438018366,0.452,4,Below
DH59,4900,191,0.455765206,0.452,4,Below
DH60,4900,191,0.419023435,0.452,3,Below
DH61,4900,191,0.450303356,0.452,3,Below
DH62,4900,191,0.31947535,0.452,4,Below
DH63,4900,191,0.437624343,0.452,5,Below
DH64,4900,191,0.41859446,0.452,3,Below
DH65,4900,191,0.415419645,0.452,5,Below
DH66,4900,20,0.419873813,0.452,5,Below
HDX092,4900,199,0.352310133,0.452,10,Below
HDX094,4900,319,0.384137419,0.452,8,Below
HDX095,4900,86,0.24262383,0.452,11,Below
HDX096,4900,37,0.218091259,0.452,5,Below
HDX097,4900,78,0.356656739,0.452,7,Below
HDX099,4900,236,0.342225952,0.452,11,Below
HDX100,4900,184,0.322799586,0.452,9,Below
HDX101,4900,118,0.484157803,0.452,4,Below
HDX102,4900,132,0.364711799,0.452,9,Below
HDX103,4900,209,0.297565291,0.452,11,Below
HDX104,4900,208,0.384822477,0.452,9,Below
HDX105,4900,312,0.335510316,0.452,10,Below
DH43,4800,294,0.403073435,0.586,7,Below
DH44,4800,309,0.309437969,0.586,8,Below
DH45,4800,444,0.432166577,0.586,5,Below
DH46,4800,310,0.348491627,0.586,8,Below
DH47,4800,311,0.390287366,0.586,11,Below
DH48,4800,253,0.401616673,0.586,5,Below
DH49,4800,513,0.389309071,0.586,11,Below
DH50,4800,328,0.370029344,0.586,7,Below
DH51,4800,265,0.461334442,0.586,5,Below
DH52,4800,262,0.414298527,0.586,7,Below
DH53,4800,275,0.439131845,0.586,8,Below
DH54,4800,246,0.390700564,0.586,4,Below
HDX077,4800,128,0.350149034,0.586,11,Below
HDX078,4800,35,0.255105021,0.586,9,Below
HDX079,4800,9,0.106905414,0.586,2,Below
HDX080,4800,102,0.326547883,0.586,10,Below
HDX081,4800,120,0.367555248,0.586,7,Below
HDX082,4800,70,0.257463814,0.586,6,Below
HDX083,4800,38,0.300813661,0.586,6,Below
HDX084,4800,67,0.279540547,0.586,9,Below
HDX085,4800,113,0.335409011,0.586,9,Below
HDX086,4800,66,0.304745982,0.586,9,Below
HDX087,4800,125,0.344445787,0.586,8,Below
HDX088,4800,48,0.036750081,0.586,3,Below
HDX089,4800,250,0.392268583,0.586,10,Below
HDX090,4800,203,0.370236657,0.586,8,Below
